prime_mover,cls,formula,boot_num,rmse
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + CHP_fixed_adj,2,5996744.096893504
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + CHP_fixed_adj,3,6922692.906309363
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + CHP_fixed_adj + duct_burners_fixed_adj,1,6487105.112604502
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + CHP_fixed_adj + duct_burners_fixed_adj,2,5908486.887952863
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + CHP_fixed_adj + duct_burners_fixed_adj,3,6754042.128687365
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + CHP_fixed_adj + duct_burners_fixed_adj + gen_adj,1,6394008.275001665
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + CHP_fixed_adj + duct_burners_fixed_adj + gen_adj,2,5822257.444100462
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + CHP_fixed_adj + duct_burners_fixed_adj + gen_adj,3,6666466.27789926
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + CHP_fixed_adj + duct_burners_fixed_adj + gen_adj + oil_starts_adj,1,6428108.9732907005
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + CHP_fixed_adj + duct_burners_fixed_adj + gen_adj + oil_starts_adj,2,5654094.80489809
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + CHP_fixed_adj + duct_burners_fixed_adj + gen_adj + oil_starts_adj,3,6807479.126618065
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + CHP_fixed_adj + duct_burners_fixed_adj + oil_starts_adj,1,6503614.720078157
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + CHP_fixed_adj + duct_burners_fixed_adj + oil_starts_adj,2,5740278.38851319
CC,1,real_opex ~ 0 + capacity_adj + age_variable_adj + age_obs_variable_adj + pollution_variable_adj + starts_adj + age_fixed_adj + CHP_fixed_adj + duct_burners_fixed_adj + oil_starts_adj,3,6956365.346039654
